ID,Name,Type,Episodes,Rating,Realease_year,Genres,Release_season,Studio
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,TV   ,0,4.60,2021,"Action, Adventure",Fall ,ufotable
2,Fruits Basket the Final Season,TV   ,13,4.60,2021,"Drama, Fantasy",Spring,TMS Entertainment
3,Mo Dao Zu Shi 3,Web  ,12,4.58,2021,"Fantasy, Ancient China",,B.C MAY PICTURES
4,Fullmetal Alchemist: Brotherhood,TV   ,64,4.58,2009,"Action, Adventure",Spring,Bones
5,Attack on Titan 3rd Season: Part II,TV   ,10,4.57,2019,"Action, Fantasy",Spring,WIT Studio
6,Jujutsu Kaisen,TV   ,24,4.56,2020,"Action, Horror",Fall ,MAPPA
7,Attack on Titan The Final Season: Part II,TV   ,0,4.56,2022,"Action, Drama",Winter,MAPPA
8,Attack on Titan The Final Season,TV   ,16,4.55,2020,"Action, Drama",Winter,MAPPA
9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Movie,0,4.54,2020,"Action, Drama",,ufotable
10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV   ,10,4.53,2016,"Shounen, Sports",Fall ,Production I.G
11,your name.,Movie,0,4.51,2016,"Drama, Romance",,CoMix Wave Films
12,Haikyuu!! Second Season,TV   ,25,4.51,2015,"Shounen, Sports",Fall ,Production I.G
13,Demon Slayer: Kimetsu no Yaiba,TV   ,26,4.51,2019,"Action, Adventure",Spring,ufotable
14,Hunter x Hunter (2011),TV   ,148,4.51,2011,"Action, Adventure",Fall ,MADHOUSE
15,A Silent Voice,Movie,0,4.51,2016,"Drama, Shounen",,Kyoto Animation
16,Violet Evergarden Movie,Movie,0,4.50,2020,"Drama, Melancholy",,Kyoto Animation
17,Haikyuu!! To the Top: Part II,TV   ,12,4.50,2020,"Shounen, Sports",Fall ,Production I.G
18,Heaven Official's Blessing Special,Web  ,1,4.50,2021,"BL, Romance",,Haoliners Animation League
19,That Time I Got Reincarnated as a Slime Season 2,TV   ,12,4.48,2021,"Action, Adventure",Winter,8-Bit
20,Given,TV   ,11,4.48,2019,"BL, Drama",Summer,Lerche
21,Code Geass: Lelouch of the Rebellion R2,TV   ,25,4.47,2008,"Mecha, Sci Fi",Spring,Sunrise
22,Mo Dao Zu Shi 2,Web  ,8,4.46,2019,"Action, Fantasy",,B.C MAY PICTURES
23,Gintama: The Very Final,Movie,0,4.46,2021,"Action, Comedy",,BN Pictures
24,Link Click,Web  ,11,4.46,2021,"Drama, Fantasy",,Studio LAN
25,Mob Psycho 100 II,TV   ,13,4.46,2019,"Action, Comedy",Winter,Bones
26,Haikyuu!! To the Top,TV   ,13,4.46,2020,"Shounen, Sports",Winter,Production I.G
27,Fruits Basket 2nd Season,TV   ,25,4.45,2020,"Comedy, Drama",Spring,8 Pan
28,The Promised Neverland,TV   ,12,4.45,2019,"Fantasy, Horror",Winter,CloverWorks
29,Spirited Away,Movie,0,4.45,2001,"Adventure, Fantasy",,Studio Ghibli
30,That Time I Got Reincarnated as a Slime Season 2: Part II,TV   ,12,4.45,2021,"Action, Adventure",Summer,8-Bit
31,Heaven Official's Blessing,Web  ,11,4.45,2020,"Action, BL",,Haoliners Animation League
32,Ranking of Kings,TV   ,0,4.45,2021,"Action, Adventure",Fall ,WIT Studio
33,Mushoku Tensei: Jobless Reincarnation - Part II,TV   ,12,4.45,2021,"Action, Adventure",Fall ,Studio Bind
34,Gintama.: Shirogane no Tamashii-hen 2,TV   ,14,4.44,2018,"Action, Comedy",Summer,BN Pictures
35,Clannad After Story,TV   ,24,4.44,2008,"Drama, Romance",Fall ,Kyoto Animation
